column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14
4964893481,1,2020.05.04,911,GD 신규경상 소비,101903,"주상변압기행거밴드,3대용,S-3,220MM,280MM",8510,0110,549380203554 ,-1,SET,-32461,N1
4964893482,1,2020.05.04,911,GD 신규경상 소비,124855,"경완철,2400MM,75MM,75MM,1.8MM",8510,0110,549320203668 ,-1,EA,-20952,N1
4964893483,2,2020.05.04,911,GD 신규경상 소비,101875,"완철밴드,단완철용,1방2호,170MM,238MM",8510,0110,549320203827 ,-1,EA,-6764,N1
4964893483,1,2020.05.04,911,GD 신규경상 소비,101876,"완철밴드,단완철용,1방3호,200MM,238MM",8510,0110,549320203827 ,-1,EA,-6943,N1
4964893484,3,2020.05.04,911,GD 신규경상 소비,101113,"가공지선지지대,일반형,1630MM,300KGF",8510,0110,543120203462 ,-2,EA,-47159,N1
4964893484,2,2020.05.04,911,GD 신규경상 소비,101888,"지선밴드,2방,200MM,260MM",8510,0110,543120203462 ,-3,EA,-13387,N1
4964893484,1,2020.05.04,911,GD 신규경상 소비,101903,"주상변압기행거밴드,3대용,S-3,220MM,280MM",8510,0110,543120203462 ,-1,SET,-32461,N1
4964893485,2,2020.05.04,911,GD 신규경상 소비,101875,"완철밴드,단완철용,1방2호,170MM,238MM",8510,0110,549320203908 ,-1,EA,-6764,N1
4964893485,1,2020.05.04,911,GD 신규경상 소비,101876,"완철밴드,단완철용,1방3호,200MM,238MM",8510,0110,549320203908 ,-1,EA,-6943,N1
4964893486,1,2020.05.04,911,GD 신규경상 소비,101888,"지선밴드,2방,200MM,260MM",8510,0110,543120203501 ,-3,EA,-13387,N1
4964893487,3,2020.05.04,911,GD 신규경상 소비,101102,"저압가선용랙크,2선용,50MM,409MM,100MM",8510,0110,549320203451 ,-2,EA,-6468,N1
4964893487,4,2020.05.04,911,GD 신규경상 소비,101618,"인장클램프,WDA-1,ACSR 32, 58MM2,쇄기형",8510,0110,549320203451 ,-42,EA,-241836,N1
4964893487,2,2020.05.04,911,GD 신규경상 소비,101903,"주상변압기행거밴드,3대용,S-3,220MM,280MM",8510,0110,549320203451 ,-1,SET,-32461,N1
